user_id,item_0,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,item_21,item_22,item_23,item_24,item_25,item_26,item_27,item_28,item_29,item_30,item_31,item_32,item_33,item_34,item_35,item_36,item_37,item_38,item_39,item_40,item_41,item_42,item_43,item_44,item_45,item_46,item_47,item_48,item_49
0,3,4,2,4,4,1,2,2,2,4,3,2,5,4,1,3,5,5,1,3,4,0,3,1,5,4,3,0,0,2,2,1,3,3,5,5,5,2,3,3,0,2,4,2,4,0,1,3,0,3
1,5,1,1,0,1,4,1,3,3,3,3,4,2,5,0,3,1,3,1,5,5,5,1,3,5,4,1,1,3,1,1,5,3,5,5,3,0,5,4,4,1,4,1,0,3,3,3,4,0,4
2,4,0,0,0,0,3,2,2,0,2,2,0,2,4,1,1,0,3,0,3,1,0,5,4,2,3,5,2,2,0,2,4,5,2,0,4,1,5,2,0,1,1,3,4,2,0,3,4,3,5
3,4,4,2,4,3,4,2,2,5,3,1,1,4,5,0,4,5,3,3,3,3,3,5,5,2,1,3,0,5,0,0,0,2,5,0,3,4,0,2,5,2,0,5,4,0,2,1,3,2,5
4,0,3,0,5,0,1,3,3,5,1,2,0,4,0,0,2,0,1,1,3,5,4,0,0,2,5,1,4,3,1,5,3,2,2,0,5,4,3,1,5,5,2,0,0,3,2,5,4,2,3
5,3,2,3,2,1,2,2,3,3,0,0,1,0,2,3,0,0,1,5,1,2,3,1,0,3,3,0,1,0,5,3,4,4,2,0,0,2,2,2,3,5,0,3,2,0,3,5,3,5,2
6,5,0,2,0,4,1,5,1,1,5,2,4,0,3,0,3,0,5,4,3,2,0,0,3,2,2,5,5,5,5,5,5,4,2,5,2,2,1,4,5,0,3,0,4,3,4,2,3,2,0
7,0,3,3,5,4,5,4,5,2,3,0,4,4,0,5,4,2,3,0,3,4,4,0,2,1,0,1,5,1,2,5,1,5,1,2,1,1,1,0,0,0,2,5,4,1,1,2,1,0,4
8,3,1,0,3,4,3,0,5,5,3,2,3,1,1,5,2,0,1,5,4,5,1,1,5,0,3,1,5,5,2,3,4,0,4,3,3,3,4,3,5,4,3,5,2,3,4,1,3,1,5
9,2,0,2,3,1,1,4,1,4,5,0,3,4,0,1,1,0,1,5,5,0,4,4,0,4,4,5,4,2,3,1,2,4,5,0,4,5,3,4,0,5,5,5,3,4,3,1,1,4,3
